编号,名称,模型,名称方式,备注,抵抗封印等级,封印命中等级,血量加成,伤害加成,法伤加成,速度加成,防御加成,法防加成,治疗能力,固定伤害,AI战斗,门派,主动技能,特技,法宝技能,法宝佩戴,技能,技能目标数,招式特效,武器名称,武器等级,角色,可捕捉,变身数据,变异,特殊变异,饰品显示,饰品颜色,附加阵法,主怪,共生,炫彩,炫彩组
20090,三足金乌,进阶雷鸟人,1,,0,0,50000,2,2.5,1,1,1,0,0,方式=智能战斗|参数=87|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|神木林|魔王寨|龙宫,,,,,高级夜战|,,,,,,,,,,,,,,,,
20091,金乌之力,进阶雷鸟人,1,,0,0,30000,2,2.5,1,1,1,0,0,方式=智能战斗|参数=88|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|神木林|魔王寨|龙宫,,,,,高级夜战|,,,,,,,,,,,,,,,,
20092,目迷五彩,泡泡,1,,0,0,30000,2,2.5,1,1,1,0,0,方式=智能战斗|参数=89|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|神木林|魔王寨|龙宫,,,,,高级夜战|,,,,,,,,,,,,,,,,
20093,嘈杂之音,进阶机关鸟,1,,0,0,30000,2,2.5,1,1,1,0,0,方式=智能战斗|参数=90|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|神木林|魔王寨|龙宫,,,,,高级夜战|,,,,,,,,,,,,,,,,
20094,五味杂陈,野猪,1,,0,0,30000,2,2.5,1,1,1,0,0,方式=智能战斗|参数=91|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|神木林|魔王寨|龙宫,,,,,高级夜战|,,,,,,,,,,,,,,,,
20095,极恶之念,进阶鬼将,1,,0,0,30000,2,2.5,1,1,1,0,0,方式=智能战斗|参数=92|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|神木林|魔王寨|龙宫,,,,,高级夜战|,,,,,,,,,,,,,,,,
20096,如梦如幻,进阶蝎子精,1,,0,0,30000,2,2.5,1,1,1,0,0,方式=智能战斗|参数=93|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|神木林|魔王寨|龙宫,,,,,高级夜战|,,,,,,,,,,,,,,,,
20097,如梦如幻,进阶巨力神猿,1,,0,0,30000,2,2.5,1,1,1,0,0,方式=智能战斗|参数=94|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|神木林|魔王寨|龙宫,,,,,高级夜战|,,,,,,,,,,,,,,,,
20098,如梦如幻,进阶红萼仙子,1,,0,0,30000,2,2.5,1,1,1,0,0,方式=智能战斗|参数=95|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|神木林|魔王寨|龙宫,,,,,高级夜战|,,,,,,,,,,,,,,,,
20099,如梦如幻,进阶踏云兽,1,,0,0,30000,2,2.5,1,1,1,0,0,方式=智能战斗|参数=96|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|神木林|魔王寨|龙宫,,,,,高级夜战|,,,,,,,,,,,,,,,,
20100,如梦如幻,进阶龙龟,1,,0,0,30000,2,2.5,1,1,1,0,0,方式=智能战斗|参数=97|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|神木林|魔王寨|龙宫,,,,,高级夜战|,,,,,,,,,,,,,,,,
20101,如梦如幻,进阶狂豹兽形,1,,0,0,30000,2,2.5,1,1,1,0,0,方式=智能战斗|参数=98|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|神木林|魔王寨|龙宫,,,,,高级夜战|,,,,,,,,,,,,,,,,
20102,如梦如幻,进阶修罗傀儡鬼,1,,0,0,30000,2,2.5,1,1,1,0,0,方式=智能战斗|参数=99|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|神木林|魔王寨|龙宫,,,,,高级夜战|,,,,,,,,,,,,,,,,
20103,万剑归一,雷鸟人,1,,0,0,50000,2,2.5,1,1,1,0,0,方式=智能战斗|参数=100|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|神木林|魔王寨|龙宫,,,,,高级夜战|,,,,,,,,,,,,,,,,
20104,康太尉,天兵,1,,0,0,6,1,1,1,1,1,0,0,方式=智能战斗|参数=101|击飞=true|行动=true,龙宫|天宫,,,,,高级夜战|,,,,,,,,,,,,,,,,
20105,喽啰,天兵|虾兵,3,,0,0,3,0.9,1,1,1,1,0,0,方式=智能战斗|参数=102|击飞=true|行动=true,龙宫|天宫,,,,,高级夜战|,,,,,,,,,,,,,,,,
20106,家丁,山贼,1,,0,0,6,1,1,1,1,1,0,0,方式=智能战斗|参数=103|击飞=true|行动=true,化生寺|方寸山,,,,,高级夜战|,,,,,,,,,,,,,,,,
20107,喽啰,山贼,3,,0,0,3,0.9,1,1,1,1,0,0,方式=智能战斗|参数=104|击飞=true|行动=true,化生寺|方寸山,,,,,高级夜战|,,,,,,,,,,,,,,,,
20108,冤魂,僵尸,3,,0,0,6,1,1,1,1,1,0,0,方式=智能战斗|参数=105|击飞=true|行动=true,阴曹地府,,,,,高级夜战|,,,,,,,,,,,,,,,,
20109,喽啰,骷髅怪,3,,0,0,3,0.9,1,1,1,1,0,0,方式=智能战斗|参数=106|击飞=true|行动=true,阴曹地府,,,,,高级夜战|,,,,,,,,,,,,,,,,
20110,哮天犬,狼,1,,0,0,6,1,1,1,1,1,0,0,方式=智能战斗|参数=107|击飞=true|行动=true,天宫,,,,,高级夜战|,,,,,,,,,,,,,,,,
20111,喽啰,天兵,3,,0,0,3,0.9,1,1,1,1,0,0,方式=智能战斗|参数=108|击飞=true|行动=true,天宫,,,,,高级夜战|,,,,,,,,,,,,,,,,
20112,龙神,蛟龙,1,,0,0,6,1,1,1,1,1,0,0,方式=智能战斗|参数=109|击飞=true|行动=true,龙宫,,,,,高级反击|水漫金山|高级夜战,,,,,,,,,,,,,,,,
20113,喽啰,古代瑞兽,3,,0,0,3,0.9,1,1,1,1,0,0,方式=智能战斗|参数=110|击飞=true|行动=true,,,,,,高级夜战|高级隐身,,,,,,,,,,,,,,,,
20114,吊死鬼,野鬼,1,,0,0,6,1,1,1,1,1,0,0,方式=智能战斗|参数=111|击飞=true|行动=true,阴曹地府,,,,,高级夜战|,,,,,,,,,,,,,,,,
20115,喽啰,骷髅怪,3,,0,0,3,0.9,1,1,1,1,0,0,方式=智能战斗|参数=112|击飞=true|行动=true,,,,,,高级夜战|高级隐身,,,,,,,,,,,,,,,,
20116,青灵玄女,如意仙子,1,,0,0,6,1,1,1,1,1,0,0,方式=智能战斗|参数=113|击飞=true|行动=true,龙宫,,,,,高级夜战|,,,,,,,,,,,,,,,,
20117,喽啰,凤凰|蝴蝶仙子,3,,0,0,3,0.9,1,1,1,1,0,0,方式=智能战斗|参数=114|击飞=true|行动=true,龙宫,,,,,高级夜战|,,,,,,,,,,,,,,,,
20118,牛妖,牛妖,1,,0,0,6,1,1,1,1,1,0,0,方式=智能战斗|参数=115|击飞=true|行动=true,魔王寨,,,,,高级夜战|,,,,,,,,,,,,,,,,
20119,喽啰,牛妖,3,,0,0,3,0.9,1,1,1,1,0,0,方式=智能战斗|参数=116|击飞=true|行动=true,魔王寨,,,,,高级夜战|,,,,,,,,,,,,,,,,
20120,黑熊精,黑熊精,1,,0,0,3,1,1,1,1,1,0,0,方式=智能战斗|参数=117|击飞=true|行动=true,龙宫|天宫,,,,,高级夜战|,,,,,,,,,,,,,,,,
20121,横行霸道的山贼,山贼,1,,0,0,3,1,1,1,1,1,0,0,方式=智能战斗|参数=118|击飞=true|行动=true,化生寺,,,,,高级夜战|,,,,,,,,,,,,,,,,
20122,鬼将,鬼将,1,,0,0,3,1,1,1,1,1,0,0,方式=智能战斗|参数=119|击飞=true|行动=true,阴曹地府,,,,,高级夜战|,,,,,,,,,,,,,,,,
15556,蛛丝,蜘蛛精,1,红孩儿,0,0,1.5,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|魔王寨|龙宫,,,,,高级夜战|,,,,,,,,真,,,,,,,,
15557,厚皮猪,野猪,1,红孩儿,0,0,1,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,阴曹地府|五庄观|天宫,,,,,高级夜战|,,,,,,,,真,,,,,,,,
15558,厚皮猪,野猪,1,红孩儿,0,0,1,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,阴曹地府|五庄观|天宫,,,,,高级夜战|,,,,,,,,真,,,,,,,,
15559,树精,树怪,1,红孩儿,0,0,1,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,化生寺|方寸山,,,,,高级夜战|,,,,,,,,,,,,,,,,
15560,火焰泡泡,泡泡,1,红孩儿,0,0,2,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,魔王寨,,,,,高级感知|,,,,,,,,,,,,,,,,
15561,大火泡泡,泡泡,1,红孩儿,0,0,1,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,魔王寨,,,,,高级感知|,,,,,,,,,,,,,,,,
15562,小火泡泡,泡泡,1,红孩儿,0,0,1,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,魔王寨,,,,,高级感知|,,,,,,,,,,,,,,,,
15563,观音姐姐,观音姐姐,1,红孩儿,0,0,3,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,普陀山,,,,,高级驱鬼|高级感知|高级神迹,,,,,,,,,,,,,,,,
15564,木小妖,雾中仙,1,红孩儿,0,0,2,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,魔王寨|龙宫,,,,,高级感知|,,,,,,,,,,,,,,,,
15565,五行车·金,进阶机关人人形,1,红孩儿,0,0,2,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,普陀山,,,,,高级感知|,,,,,,,,,,,,,,,,
15566,五行车·木,进阶机关人人形,1,红孩儿,0,0,2,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,普陀山,,,,,高级感知|,,,,,,,,,,,,,,,,
15567,五行车·水,进阶机关人人形,1,红孩儿,0,0,2,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,普陀山,,,,,高级感知|,,,,,,,,,,,,,,,,
15568,五行车·火,进阶机关人人形,1,红孩儿,0,0,2,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,普陀山,,,,,高级感知|,,,,,,,,,,,,,,,,
15569,五行车·土,进阶机关人人形,1,红孩儿,0,0,2,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,普陀山,,,,,高级感知|,,,,,,,,,,,,,,,,
15570,云里雾,兔子怪,1,红孩儿,0,0,1,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,魔王寨|龙宫,,,,,高级感知|,,,,,,,,,,,,,,,,
15571,雾里云,兔子怪,1,红孩儿,0,0,1.1,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,魔王寨|龙宫,,,,,高级感知|,,,,,,,,,,,,,,,,
15572,急如火,犀牛将军兽形,1,红孩儿,0,0,1.2,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|魔王寨|龙宫,,,,,高级感知|,,,,,,,,,,,,,,,,
15573,快如风,风伯,1,红孩儿,0,0,1.3,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|魔王寨|龙宫,,,,,高级感知|,,,,,,,,,,,,,,,,
15574,兴烘掀,锦毛貂精,1,红孩儿,0,0,1.4,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|魔王寨|龙宫,,,,,高级感知|,,,,,,,,,,,,,,,,
15575,掀烘兴,锦毛貂精,1,红孩儿,0,0,1.5,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|魔王寨|龙宫,,,,,高级感知|,,,,,,,,,,,,,,,,
15576,圣婴大王,小魔头,1,红孩儿,0,0,3,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|魔王寨|龙宫,,,,,高级感知|,,,,,,,,,,,,,,,,
15577,强盗,强盗|赌徒|山贼,1,黑风山,0,0,2,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|魔王寨|龙宫,,,,,高级感知|,,,,,,,,,,,,,,,,
15578,,,1,黑风山,0,0,2,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|魔王寨|龙宫,,,,,高级感知|,,,,,,,,,,,,,,,,
15579,恶虎,噬天虎,1,黑风山,0,0,2,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|魔王寨|龙宫,,,,,高级感知|,,,,,,,,,,,,,,,,
15580,老虎,老虎,1,黑风山,0,0,2,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|魔王寨|龙宫,,,,,高级感知|,,,,,,,,,,,,,,,,
15581,熊精,黑熊精,1,黑风山,0,0,2,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|魔王寨|龙宫,,,,,高级感知|,,,,,,,,,,,,,,,,
15582,黑熊,黑熊精,1,黑风山,0,0,2,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|魔王寨|龙宫,,,,,高级感知|,,,,,,,,,,,,,,,,
15583,,,1,黑风山,0,0,2,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,阴曹地府|魔王寨|龙宫,,,,,高级感知|,,,,,,,,真,,,,,,,,
15584,助火风,风伯,1,黑风山,0,0,2,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,阴曹地府|魔王寨|龙宫,,,,,高级感知|,,,,,,,,,,,,,,,,
15585,柴火,树怪,1,黑风山,0,0,2,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,阴曹地府|魔王寨|龙宫,,,,,高级感知|,,,,,,,,,,,,,,,,
15586,火苗,凤凰,1,黑风山,0,0,2,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,阴曹地府|魔王寨|龙宫,,,,,高级感知|地狱烈火,,,,,,,,,,,,,,,,
15587,黑汉,黑熊精,1,黑风山,0,0,2,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,阴曹地府|魔王寨|龙宫,,,,,高级感知|,,,,,,,,真,,,,,,,,
15588,道人,雨师,1,黑风山,0,0,2,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,龙宫,,,,,高级感知|,,,,,,,,真,,,,,,,,
15589,白衣秀士,净瓶女娲,1,黑风山,0,0,2,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,女儿村|方寸山,,,,,高级感知|,,,,,,,,真,,,,,,,,
15590,黑熊精队长,黑熊精,1,黑风山,0,0,2,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,五庄观,,,,,高级感知|,,,,,,,,真,,,,,,,,
15591,熊精,黑熊,1,黑风山,0,0,2,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|魔王寨|龙宫,,,,,高级感知|,,,,,,,,真,,,,,,,,
15592,熊精护卫,黑熊精,1,黑风山,0,0,2,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|魔王寨|龙宫,,,,,高级感知|,,,,,,,,真,,,,,,,,
15618,白无常,僵尸,1,齐天大圣,0,0,1.5,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,阴曹地府,,,,,高级感知|,,,,,,,,真,,,,,,,,
15619,斩妖,巡游天神,1,齐天大圣,0,0,1.5,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|魔王寨|龙宫,,,,,高级感知|,,,,,,,,真,,,,,,,,
15620,天灾,夜罗刹,1,齐天大圣,0,0,1.5,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|魔王寨|龙宫,,,,,高级感知|,,,,,,,,真,,,,,,,,
15621,天罚,混沌兽,1,齐天大圣,0,0,1.5,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|魔王寨|龙宫,,,,,高级感知|,,,,,,,,真,,,,,,,,
15622,鬼兵,吸血鬼,1,齐天大圣,0,0,1,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|魔王寨|龙宫,,,,,高级感知|,,,,,,,,真,,,,,,,,
15623,黑无常,野鬼,1,齐天大圣,0,0,1.5,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,阴曹地府,,,,,高级感知|,,,,,,,,真,,,,,,,,
15624,阎王,阎罗王,1,齐天大圣,0,0,2,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,阴曹地府,,,,,高级感知|,,,,,,,,真,,,,,,,,
15625,天王,进阶金身罗汉,1,齐天大圣,0,0,2.5,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,阴曹地府,,,,,高级感知|,,,,,,,,真,,,,,,,,
15626,镇妖,地狱战神,1,齐天大圣,0,0,1.5,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|魔王寨|龙宫,,,,,高级感知|,,,,,,,,真,,,,,,,,
15627,天兵,天兵,1,齐天大圣,0,0,1,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|魔王寨|龙宫,,,,,高级感知|,,,,,,,,真,,,,,,,,
15628,盗马贼,强盗,1,齐天大圣,0,0,1,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|魔王寨|龙宫,,,,,高级感知|,,,,,,,,真,,,,,,,,
15629,强盗,强盗,1,齐天大圣,0,0,1,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|魔王寨|龙宫,,,,,高级感知|,,,,,,,,真,,,,,,,,
15630,天将,天将,1,齐天大圣,0,0,1,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|魔王寨|龙宫,,,,,高级感知|,,,,,,,,真,,,,,,,,
15631,天恩,葫芦宝贝,1,齐天大圣,0,0,1,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|魔王寨|龙宫,,,,,高级感知|,,,,,,,,真,,,,,,,,
15632,天弄,阴阳伞,1,齐天大圣,0,0,1,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|魔王寨|龙宫,,,,,高级感知|,,,,,,,,真,,,,,,,,
15633,巨灵神,进阶大力金刚,1,齐天大圣,0,0,2,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|魔王寨|龙宫,,,,,高级感知|,,,,,,,,真,,,,,,,,
15634,塔灵,进阶龙龟,1,齐天大圣,0,0,3,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|魔王寨|龙宫,,,,,高级感知|,,,,,,,,真,,,,,,,,
15635,降兽,踏云兽,1,齐天大圣,0,0,1,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|魔王寨|龙宫,,,,,高级感知|,,,,,,,,真,,,,,,,,
15593,抢水蠢贼,黑熊精,1,大闹天宫,0,0,1,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|魔王寨|龙宫,,,,,高级感知|,,,,,,,,真,,,,,,,,
15594,虫蚁精怪,海毛虫,1,大闹天宫,0,0,1,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|魔王寨|龙宫,,,,,高级感知|,,,,,,,,真,,,,,,,,
15595,大仙女,芙蓉仙子,1,大闹天宫,0,0,1.5,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|魔王寨|龙宫,,,,,高级感知|,,,,,,,,真,,,,,,,,
15596,二仙女,芙蓉仙子,1,大闹天宫,0,0,1.5,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|魔王寨|龙宫,,,,,高级感知|,,,,,,,,真,,,,,,,,
15597,三仙女,芙蓉仙子,1,大闹天宫,0,0,1.5,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|魔王寨|龙宫,,,,,高级感知|,,,,,,,,真,,,,,,,,
15598,四仙女,芙蓉仙子,1,大闹天宫,0,0,1.5,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|魔王寨|龙宫,,,,,高级感知|,,,,,,,,真,,,,,,,,
15599,五仙女,芙蓉仙子,1,大闹天宫,0,0,1.5,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|魔王寨|龙宫,,,,,高级感知|,,,,,,,,真,,,,,,,,
15600,六仙女,芙蓉仙子,1,大闹天宫,0,0,1.5,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|魔王寨|龙宫,,,,,高级感知|,,,,,,,,真,,,,,,,,
15601,七仙女,芙蓉仙子,1,大闹天宫,0,0,1.5,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|魔王寨|龙宫,,,,,高级感知|,,,,,,,,真,,,,,,,,
15602,造酒仙官,护卫,1,大闹天宫,0,0,2,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|魔王寨|龙宫,,,,,高级感知|,,,,,,,,真,,,,,,,,
15603,造酒童子,小精灵|小毛头|小丫丫|小魔头|小仙灵|小仙女,1,大闹天宫,0,0,1.5,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|魔王寨|龙宫,,,,,高级感知|,,,,,,,,真,,,,,,,,
15604,运水道人,雨师,1,大闹天宫,0,0,2,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|魔王寨|龙宫,,,,,高级感知|,,,,,,,,真,,,,,,,,
15605,座下童子,小精灵|小毛头|小丫丫|小魔头|小仙灵|小仙女,1,大闹天宫,0,0,1.5,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|魔王寨|龙宫,,,,,高级感知|,,,,,,,,真,,,,,,,,
15606,烧火童子,小魔头,1,大闹天宫,0,0,2,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,魔王寨,,,,,高级感知|,,,,,,,,真,,,,,,,,
15607,盘槽力士,风伯,1,大闹天宫,0,0,2,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,狮驼岭,,,,,高级感知|,,,,,,,,真,,,,,,,,
15608,力士,风伯,1,大闹天宫,0,0,1.5,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,狮驼岭|大唐官府|凌波城,,,,,高级感知|,,,,,,,,真,,,,,,,,
15609,,,1,大闹天宫,0,0,2,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,狮驼岭|大唐官府|凌波城,,,,,高级感知|,,,,,,,,真,,,,,,,,
15610,天兵|天将,天兵|天将,1,大闹天宫,0,0,1,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,狮驼岭|大唐官府|凌波城,,,,,高级感知|,,,,,,,,真,,,,,,,,
15611,二郎真君,二郎神,1,大闹天宫,0,0,2.5,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,狮驼岭|大唐官府|凌波城,,,,,高级感知|,,,,,,,,真,,,,,,,,
15612,惠岸行者,净瓶女娲,1,大闹天宫,0,0,1.5,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,狮驼岭|大唐官府|凌波城,,,,,高级感知|,,,,,,,,真,,,,,,,,
15613,天将,天将,1,大闹天宫,0,0,1,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,狮驼岭|大唐官府|凌波城,,,,,高级感知|,,,,,,,,真,,,,,,,,
15614,上古雷神,进阶谛听,1,大闹天宫,0,0,3,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,天宫,,,,,高级感知|,,,,,,,,真,,,,,,,,
15615,雷神分身,谛听,1,大闹天宫,0,0,2,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,天宫,,,,,高级感知|,,,,,,,,真,,,,,,,,
15616,天雷滚滚,风伯,1,大闹天宫,0,0,2,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|魔王寨|龙宫,,,,,高级感知|,,,,,,,,真,,,,,,,,
15617,冥府援军,取随机怪,1,大闹天宫,0,0,1.5,1,1,0.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|魔王寨|龙宫,,,,,高级感知|,,,,,,,,真,,,,,,,,
15636,阴魂首领,风伯,1,天火之殇上,0,0,2,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,普陀山,,,,,高级感知|,,,,,,,,真,,,,,,,,
15637,怨气,雷鸟人,1,天火之殇上,0,0,2,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,普陀山,,,,,高级感知|,,,,,,,,真,,,,,,,,
15638,怨念,野鬼,1,天火之殇上,0,0,2,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,普陀山,,,,,高级感知|,,,,,,,,真,,,,,,,,
15639,怨灵,骷髅怪,1,天火之殇上,0,0,2,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,普陀山,,,,,高级感知|,,,,,,,,真,,,,,,,,
15640,冤魂,僵尸,1,天火之殇上,0,0,2,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,普陀山,,,,,高级感知|,,,,,,,,真,,,,,,,,
15641,被掳走的姑娘,花妖,1,天火之殇上,0,0,2,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true|指令=逃跑|回合=2,普陀山,,,,,高级感知|,,,,,,,,真,,,,,,,,
